Date, Minutes Read, Views, Visitors
8/14/2017,1008,1186,1045
8/15/2017,742,855,963
8/16/2017,848,936,725
8/17/2017,650,722,736
8/18/2017,579,635,570
8/19/2017,374,402,501
8/20/2017,367,401,316
8/21/2017,581,547,330
8/22/2017,734,755,461
8/23/2017,720,675,628
8/24/2017,792,718,556
8/25/2017,1181,984,587
8/26/2017,510,557,846
8/27/2017,435,438,435
8/28/2017,1400,1185,353
8/29/2017,1146,1066,987
8/30/2017,1126,968,802
8/31/2017,817,759,808
9/1/2017,554,577,570
9/2/2017,438,408,455
9/3/2017,539,407,312
9/4/2017,494,530,324
9/5/2017,709,629,403
9/6/2017,570,597,488
9/7/2017,574,531,485
9/8/2017,518,513,427
9/9/2017,355,343,395
9/10/2017,319,357,280
9/11/2017,775,717,300
9/12/2017,169,145,592
