Date, Minutes Read, Views, Visitors
2/4/2018,1180,887,766
2/5/2018,1916,1382,743
2/6/2018,1755,1321,1143
2/7/2018,1834,1356,1103
2/8/2018,1756,1288,1152
2/9/2018,1550,1167,1097
2/10/2018,960,811,987
2/11/2018,1011,834,674
2/12/2018,1798,1536,691
2/13/2018,2647,2061,1297
2/14/2018,2012,1567,1761
2/15/2018,1505,1303,1308
2/16/2018,1222,1107,1116
2/17/2018,985,850,917
2/18/2018,982,874,709
2/19/2018,2287,2067,727
2/20/2018,2372,2211,1732
2/21/2018,2636,2176,1875
2/22/2018,2056,1612,1842
2/23/2018,1795,1385,1362
2/24/2018,1006,942,1196
2/25/2018,1201,963,817
2/26/2018,1925,1574,841
2/27/2018,1668,1448,1308
2/28/2018,1618,1348,1242
3/1/2018,1696,1331,1168
3/2/2018,1511,1220,1147
3/3/2018,1048,909,1014
3/4/2018,1165,963,754
3/5/2018,1151,887,785
