Date, Minutes Read, Views, Visitors
11/13/2017,952,919,436
11/14/2017,916,761,738
11/15/2017,1014,831,639
11/16/2017,806,706,675
11/17/2017,795,698,612
11/18/2017,627,573,578
11/19/2017,696,546,467
11/20/2017,1024,867,454
11/21/2017,1103,937,707
11/22/2017,849,721,744
11/23/2017,1797,1755,585
11/24/2017,2065,1653,1448
11/25/2017,963,813,1415
11/26/2017,851,735,679
11/27/2017,1269,1144,592
11/28/2017,1941,1617,930
11/29/2017,2257,1824,1377
11/30/2017,2227,1938,1562
12/1/2017,2219,1968,1673
12/2/2017,1078,976,1725
12/3/2017,1108,951,828
12/4/2017,1687,1501,800
12/5/2017,1252,1165,1256
12/6/2017,1309,1082,976
12/7/2017,1510,1165,911
12/8/2017,1152,936,1009
12/9/2017,663,680,804
12/10/2017,722,648,569
12/11/2017,1215,1036,546
12/12/2017,158,124,837
