Date, Minutes Read, Views, Visitors
6/11/2018,1900,1571,737
6/12/2018,1760,1494,1336
6/13/2018,1814,1581,1270
6/14/2018,1650,1379,1314
6/15/2018,1836,1480,1219
6/16/2018,1347,1111,1255
6/17/2018,1152,879,923
6/18/2018,1942,1706,768
6/19/2018,2529,1870,1425
6/20/2018,1943,1598,1626
6/21/2018,5005,2998,1358
6/22/2018,8755,4417,2617
6/23/2018,2029,1479,3862
6/24/2018,1402,1171,1243
6/25/2018,2271,1736,980
6/26/2018,2306,1673,1475
6/27/2018,2082,1575,1425
6/28/2018,1957,1531,1384
6/29/2018,1632,1394,1308
6/30/2018,1093,951,1191
7/1/2018,1036,917,797
7/2/2018,1767,1508,793
7/3/2018,2034,1641,1314
7/4/2018,1917,1530,1390
7/5/2018,2313,1665,1294
7/6/2018,3513,2217,1454
7/7/2018,2092,1273,1958
7/8/2018,1939,1205,1111
7/9/2018,2689,1890,1022
7/10/2018,0,350,1627
