Date, Minutes Read, Views, Visitors
4/9/2018,2023,1558,826
4/10/2018,2116,1531,1333
4/11/2018,2031,1585,1312
4/12/2018,1918,1525,1373
4/13/2018,1581,1376,1321
4/14/2018,1124,903,1183
4/15/2018,1137,942,787
4/16/2018,2644,1949,815
4/17/2018,3119,2078,1704
4/18/2018,2107,1643,1836
4/19/2018,2169,1610,1433
4/20/2018,2139,1525,1395
4/21/2018,1133,965,1316
4/22/2018,1366,1074,840
4/23/2018,1809,1564,930
4/24/2018,2130,1584,1345
4/25/2018,1868,1479,1373
4/26/2018,1838,1568,1291
4/27/2018,1733,1386,1357
4/28/2018,1021,888,1213
4/29/2018,1083,954,762
4/30/2018,2066,1655,815
5/1/2018,2019,1601,1348
5/2/2018,2173,1806,1358
5/3/2018,2171,1752,1520
5/4/2018,1850,1524,1510
5/5/2018,1100,956,1298
5/6/2018,1091,836,824
5/7/2018,1695,1359,731
5/8/2018,380,263,1209
