Date, Minutes Read, Views, Visitors
10/29/2017,1128,779,777
10/30/2017,2925,3353,604
10/31/2017,4246,5105,2555
11/1/2017,2769,2927,4171
11/2/2017,1752,1768,2343
11/3/2017,1548,1546,1456
11/4/2017,987,965,1249
11/5/2017,915,781,752
11/6/2017,1278,1229,650
11/7/2017,1228,1321,976
11/8/2017,1280,1230,998
11/9/2017,1078,1031,964
11/10/2017,947,929,852
11/11/2017,592,599,737
11/12/2017,642,534,500
11/13/2017,952,919,436
11/14/2017,916,761,738
11/15/2017,1014,831,639
11/16/2017,806,706,675
11/17/2017,795,698,612
11/18/2017,627,573,578
11/19/2017,696,546,467
11/20/2017,1024,867,454
11/21/2017,1103,937,707
11/22/2017,849,721,744
11/23/2017,1797,1755,585
11/24/2017,2065,1653,1448
11/25/2017,963,813,1415
11/26/2017,851,735,679
11/27/2017,292,171,592
