Date, Minutes Read, Views, Visitors
6/3/2018,1255,1165,708
6/4/2018,1816,1568,1027
6/5/2018,2149,2014,1353
6/6/2018,2436,2160,1711
6/7/2018,1887,1567,1862
6/8/2018,1703,1399,1379
6/9/2018,1012,889,1185
6/10/2018,1019,849,760
6/11/2018,1916,1573,738
6/12/2018,1773,1495,1334
6/13/2018,1809,1593,1274
6/14/2018,1658,1384,1319
6/15/2018,1866,1484,1229
6/16/2018,1316,1091,1249
6/17/2018,1137,879,909
6/18/2018,1980,1724,766
6/19/2018,2503,1864,1444
6/20/2018,1920,1586,1623
6/21/2018,5461,3196,1340
6/22/2018,8366,4253,2791
6/23/2018,1980,1447,3718
6/24/2018,1384,1172,1214
6/25/2018,2288,1752,979
6/26/2018,2293,1656,1490
6/27/2018,2107,1573,1409
6/28/2018,1970,1542,1377
6/29/2018,1629,1397,1320
6/30/2018,1050,941,1190
7/1/2018,1061,911,787
7/2/2018,1344,1181,800
