Date, Minutes Read, Views, Visitors
2/26/2018,1925,1574,841
2/27/2018,1668,1448,1308
2/28/2018,1618,1348,1242
3/1/2018,1696,1331,1168
3/2/2018,1511,1220,1147
3/3/2018,1048,909,1014
3/4/2018,1165,963,754
3/5/2018,1891,1502,785
3/6/2018,1822,1452,1228
3/7/2018,1913,1535,1245
3/8/2018,3249,3539,1302
3/9/2018,2805,3008,3079
3/10/2018,1386,1301,2613
3/11/2018,1290,1202,1096
3/12/2018,2019,1615,1030
3/13/2018,2321,1882,1365
3/14/2018,2210,1752,1581
3/15/2018,2054,1608,1478
3/16/2018,1763,1546,1331
3/17/2018,1274,1058,1302
3/18/2018,1264,1083,885
3/19/2018,1765,1533,905
3/20/2018,1852,1505,1345
3/21/2018,2224,1876,1285
3/22/2018,2371,1825,1584
3/23/2018,1786,1449,1561
3/24/2018,1337,1139,1282
3/25/2018,1139,1029,962
3/26/2018,1831,1556,884
3/27/2018,452,370,1334
