Date, Minutes Read, Views, Visitors
9/10/2017,319,357,280
9/11/2017,775,717,300
9/12/2017,688,611,592
9/13/2017,548,517,513
9/14/2017,476,526,418
9/15/2017,457,479,430
9/16/2017,332,340,348
9/17/2017,313,363,281
9/18/2017,537,511,295
9/19/2017,453,494,415
9/20/2017,565,505,379
9/21/2017,475,550,417
9/22/2017,569,533,435
9/23/2017,328,356,443
9/24/2017,272,304,288
9/25/2017,525,479,252
9/26/2017,660,548,380
9/27/2017,587,680,424
9/28/2017,504,496,550
9/29/2017,399,439,412
9/30/2017,249,305,351
10/1/2017,334,345,239
10/2/2017,451,473,292
10/3/2017,656,536,387
10/4/2017,532,524,433
10/5/2017,874,764,409
10/6/2017,665,593,600
10/7/2017,403,350,463
10/8/2017,370,374,290
10/9/2017,686,637,300
