Date, Minutes Read, Views, Visitors
1/21/2018,1198,856,802
1/22/2018,1764,1282,725
1/23/2018,2190,1433,1092
1/24/2018,4184,2604,1222
1/25/2018,4410,2746,2239
1/26/2018,2589,1670,2352
1/27/2018,1381,970,1421
1/28/2018,1355,978,821
1/29/2018,3014,2172,839
1/30/2018,2604,1942,1857
1/31/2018,2253,1672,1653
2/1/2018,1864,1461,1423
2/2/2018,1643,1387,1269
2/3/2018,1169,909,1164
2/4/2018,1180,887,766
2/5/2018,1916,1382,743
2/6/2018,1755,1321,1143
2/7/2018,1834,1356,1103
2/8/2018,1756,1288,1152
2/9/2018,1550,1167,1097
2/10/2018,960,811,987
2/11/2018,1011,834,674
2/12/2018,1798,1536,691
2/13/2018,2647,2061,1297
2/14/2018,2012,1567,1761
2/15/2018,1505,1303,1308
2/16/2018,1222,1107,1116
2/17/2018,985,850,917
2/18/2018,982,874,709
2/19/2018,294,211,727
