Date, Minutes Read, Views, Visitors
3/15/2017,364,387.00000000000006,373
3/16/2017,354,361,312
3/17/2017,261,256,270
3/18/2017,152,163.99999999999997,205.00000000000003
3/19/2017,167,167.00000000000003,138.00000000000003
3/20/2017,231,301,121.99999999999997
3/21/2017,353,465,221
3/22/2017,272,293,338.00000000000006
3/23/2017,192,224,217.00000000000003
3/24/2017,203,231.00000000000003,177
3/25/2017,76,109,177
3/26/2017,83,113.00000000000001,77.99999999999999
3/27/2017,148,205,84
3/28/2017,144,191.99999999999997,158.00000000000003
3/29/2017,459,466,148.00000000000003
3/30/2017,260,289,326
3/31/2017,145,229,202
4/1/2017,101,129.99999999999997,145.99999999999997
4/2/2017,116,132,103.00000000000001
4/3/2017,151,212,103.99999999999999
4/4/2017,123,186,133
4/5/2017,219,203,145.99999999999997
4/6/2017,129,207,152
4/7/2017,157,202,152.99999999999997
4/8/2017,103,124.00000000000001,142.99999999999997
4/9/2017,54,114.00000000000001,87
4/10/2017,145,209,81.00000000000001
4/11/2017,322,364,159
4/12/2017,216,263,295
4/13/2017,84,72,199.00000000000003
