Date, Minutes Read, Views, Visitors
3/26/2018,1831,1556,0
3/27/2018,1936,1604,884
3/28/2018,2095,1619,1334
3/29/2018,2099,1660,1373
3/30/2018,1619,1250,1426
3/31/2018,1130,960,1426
4/1/2018,1093,928,1071
4/2/2018,1659,1267,848
4/3/2018,1988,1543,818
4/4/2018,1967,1460,1098
4/5/2018,1754,1407,1299
4/6/2018,1761,1386,1280
4/7/2018,1299,1030,1215
4/8/2018,1248,940,1194
4/9/2018,2023,1558,871
4/10/2018,2116,1531,826
4/11/2018,2031,1585,1333
4/12/2018,1918,1525,1312
4/13/2018,1581,1376,1373
4/14/2018,1124,903,1321
4/15/2018,1137,942,1183
4/16/2018,2644,1949,787
4/17/2018,3119,2078,815
4/18/2018,2107,1643,1704
4/19/2018,2169,1610,1836
4/20/2018,2139,1525,1433
4/21/2018,1133,965,1395
4/22/2018,1366,1074,1316
4/23/2018,1809,1564,840
4/24/2018,454,340,930
