Date, Minutes Read, Views, Visitors
7/21/2017,1196,1123,1186
7/22/2017,906,638,882
7/23/2017,648,515,535
7/24/2017,3219,2887,425
7/25/2017,3695,3051,2408
7/26/2017,1980,1724,2494
7/27/2017,1786,1558,1353
7/28/2017,2405,2070,1270
7/29/2017,1411,1267,1689
7/30/2017,910,758,1083
7/31/2017,1986,1664,615
8/1/2017,1300,1121,1401
8/2/2017,1037,1013,895
8/3/2017,983,966,833
8/4/2017,840,827,786
8/5/2017,435,487,664
8/6/2017,510,490,403
8/7/2017,675,681,412
8/8/2017,650,659,560
8/9/2017,1375,1628,485
8/10/2017,2761,4132,1357
8/11/2017,2945,4606,3562
8/12/2017,1440,1983,3943
8/13/2017,925,1266,1664
8/14/2017,1008,1186,1045
8/15/2017,742,855,963
8/16/2017,848,936,725
8/17/2017,650,722,736
8/18/2017,579,635,570
8/19/2017,147,204,501
