Date, Minutes Read, Views, Visitors
4/25/2017,6886,4339,3004
4/26/2017,4033,2563.9999999999995,4014
4/27/2017,1713,1206.9999999999998,2279
4/28/2017,626,498.9999999999999,1066
4/29/2017,629,516,434.0000000000001
4/30/2017,1386,1000,457.9999999999999
5/1/2017,3769,3062.9999999999995,918.9999999999998
5/2/2017,2891,2384.9999999999995,2671
5/3/2017,1776,1403,2014.9999999999998
5/4/2017,955,887,1244
5/5/2017,447,411.99999999999966,743
5/6/2017,476,441.99999999999994,339.0000000000002
5/7/2017,1472,1387.9999999999995,386
5/8/2017,1770,1421.9999999999998,1228.0000000000002
5/9/2017,1023,965,1173.9999999999998
5/10/2017,711,593.0000000000001,797.0000000000001
5/11/2017,769,834,474.99999999999994
5/12/2017,1166,1172.9999999999995,717.0000000000001
5/13/2017,615,628.0000000000001,1034.0000000000002
5/14/2017,1252,1221.9999999999995,532.9999999999998
5/15/2017,1159,1089.9999999999998,1041.9999999999998
5/16/2017,939,989.9999999999999,883.9999999999999
5/17/2017,1172,1088,808.0000000000002
5/18/2017,719,788.9999999999999,852.9999999999998
5/19/2017,440,441.99999999999994,616.0000000000002
5/20/2017,349,424.9999999999999,346
5/21/2017,988,1007,311.0000000000001
5/22/2017,883,873.9999999999999,829
5/23/2017,744,823.9999999999999,709.9999999999998
5/24/2017,451,551,629.9999999999998
