Date, Minutes Read, Views, Visitors
10/2/2017,451,473,292
10/3/2017,656,536,387
10/4/2017,532,524,433
10/5/2017,874,764,409
10/6/2017,665,593,600
10/7/2017,403,350,463
10/8/2017,370,374,290
10/9/2017,699,677,300
10/10/2017,934,976,541
10/11/2017,1669,1310,779
10/12/2017,4946,2301,1099
10/13/2017,3595,1658,1994
10/14/2017,1375,851,1428
10/15/2017,1810,1085,721
10/16/2017,3813,2120,927
10/17/2017,5863,3469,1859
10/18/2017,3606,2050,3127
10/19/2017,3002,1720,1781
10/20/2017,2157,1327,1475
10/21/2017,811,590,1126
10/22/2017,955,670,497
10/23/2017,1687,1102,561
10/24/2017,1880,1315,929
10/25/2017,2734,1844,1092
10/26/2017,2174,1568,1568
10/27/2017,2537,1567,1337
10/28/2017,1453,929,1384
10/29/2017,200,779,777
10/30/2017,0,3353,604
10/31/2017,0,1311,2258
