Date, Minutes Read, Views, Visitors
7/3/2017,5725,4288,4928
7/4/2017,1914,1427,3814
7/5/2017,6888,4029,1185
7/6/2017,5838,3473,3502
7/7/2017,1320,976,2911
7/8/2017,584,564,825
7/9/2017,743,594,460
7/10/2017,1920,1505,480
7/11/2017,1473,1291,1257
7/12/2017,2146,1797,1020
7/13/2017,3114,1963,1543
7/14/2017,1512,1159,1627
7/15/2017,589,596,959
7/16/2017,741,612,510
7/17/2017,1101,963,528
7/18/2017,1010,931,810
7/19/2017,1378,1189,761
7/20/2017,1567,1476,915
7/21/2017,1196,1123,1186
7/22/2017,906,638,882
7/23/2017,648,515,535
7/24/2017,3219,2887,425
7/25/2017,3695,3051,2408
7/26/2017,1980,1724,2494
7/27/2017,1786,1558,1353
7/28/2017,2405,2070,1270
7/29/2017,1411,1267,1689
7/30/2017,910,758,1083
7/31/2017,1986,1664,615
8/1/2017,209,224,1401
